Loan_SubType,Loan_Type,Requested_LoanAmount,Approved_LoanAmount,Funded_LoanAmount,Loan_Status,Borrower_Type,Applicant_State,Credit_Score,Type_ofVehicle,Value_ofAsset,LTV_Ratio,Loan_Class,Loan_Tier,Loan_Term,Monthly_Income,Monthly_debt,DTI_Ratio,Monthly_LoanPayment,Age_of_Employment_in_Months,Age_of_Employment_in_Years,Loan_SubType_Cat,Loan_Type_Cat,Loan_Status_Cat,Borrower_Type_Cat
Auto Refinance,Refinance,5642.59,5675.59,0.0,DECLINED,P,TX,706.0,CAR,74400.0,0,6-10 YR USED,1.tov-Vehicle T2,36,6.0,5.0,77.084,0.0,57,4.75,0,5,1,0
Other Secured Loan,Refinance,3.0,328.0,328.0,APPROVED,P,TX,681.0,CAR,18250.0,0,6-10 YR USED,1.tov-Vehicle T3,36,8.0,949.88,10.996,99.88,132,11.0,3,5,0,0
Auto Refinance,Refinance,34.0,3536.5,3536.5,DECLINED,P,AZ,636.0,CAR,31050.0,0,2 YR USED,1.tov-Vehicle T3,66,4.0,2.0,45.632,558.11,13,1.08,0,5,1,0
Auto Refinance,Refinance,282.6,19347.26,19347.26,APPROVED,P,TX,672.0,CAR,25925.0,0,4 YR USED,1.tov-Vehicle T3,54,11.0,2.0,22.505,430.15,12,1.0,0,5,0,0
Auto Refinance,Refinance,35821.0,3597.23,3597.23,APPROVED,P,TX,686.0,CAR,42400.0,0,1 YR USED/REFI 72 MO,1.tov-Vehicle T3,72,4.0,2.0,45.647,610.65,60,5.0,0,5,0,0
Used Vehicle Loan,Purchase-Other,4196.9,389.66,389.66,APPROVED,P,TX,731.0,CAR,34175.0,0,1 YR USED/REFI 72 MO,1.tov-Vehicle T2,72,16.0,2.0,18.151,619.88,420,35.0,5,4,0,0
Auto Refinance,Refinance,2856.0,18873.71,18873.71,APPROVED,P,TX,692.0,CAR,25925.0,0,3 YR USED,1.tov-Vehicle T3,66,1.0,445.14,34.242,349.6,12,1.0,0,5,0,0
Auto Refinance,Refinance,273.0,2749.26,2749.26,APPROVED,P,TX,634.0,CAR,31450.0,0,3 YR USED,1.tov-Vehicle T3,66,10.0,2.0,23.327,507.5,66,5.5,0,5,0,0
Used Vehicle Loan,Dealer Purchase,3.0,55218.0,55218.0,APPROVED,P,TX,672.0,CAR,47195.0,0,72 MO NEW,1.tov-Vehicle T3,72,7.0,3.0,46.783,939.77,132,11.0,5,1,0,0
Used Vehicle Loan,Purchase-Other,34225.0,34575.0,34575.0,APPROVED,P,TX,629.0,CAR,34575.0,0,6-10 YR USED,1.tov-Vehicle T3,36,7.0,3.0,45.527,1144.71,121,10.08,5,4,0,0
Auto Refinance,Refinance,65.0,55.0,0.0,APPROVED,P,TX,834.0,CAR,52425.0,0,4 YR USED,1.tov-Vehicle T1,54,9.0,4.0,44.501,0.0,120,10.0,0,5,0,0
New Vehicle Loan,Refinance,36.0,36125.15,36125.15,APPROVED,P,TX,725.0,CAR,37850.0,0,3 YR USED,1.tov-Vehicle T3,66,7.0,2.0,28.185,668.73,3,0.25,2,5,0,0
Used Vehicle Loan,Refinance,32.0,14541.6,14541.6,APPROVED,P,TX,723.0,CAR,20950.0,0,3 YR USED,1.tov-Vehicle T3,60,5.0,324.17,5.454,294.71,66,5.5,5,5,0,0
Auto Refinance,Refinance,271.49,2725.47,2725.47,APPROVED,P,TX,790.0,CAR,41400.0,0,5 YR USED,1.tov-Vehicle T1,48,3.0,623.65,17.785,496.25,118,9.83,0,5,0,0
Used Vehicle Loan,Dealer Purchase,62.0,6792.2,6792.2,APPROVED,P,TX,629.0,CAR,53245.0,0,1 YR USED/REFI 72 MO,1.tov-Vehicle T3,72,5.0,2.0,34.336,1039.58,36,3.0,5,1,0,0
Auto Refinance,Refinance,29919.0,12378.29,12378.29,APPROVED,P,TX,788.0,CAR,23825.0,0,6-10 YR USED,1.tov-Vehicle T2,36,4.0,1.0,32.919,399.8,12,1.0,0,5,0,0
New Vehicle Loan,Purchase-Other,56373.11,56373.11,0.0,APPROVED,P,TX,681.0,CAR,53095.0,0,72 MO NEW,6.tov-Vehicle T3,72,6.0,2.0,34.06,0.0,54,4.5,2,4,0,0
Auto Refinance,Refinance,55.0,269.0,269.0,APPROVED,P,TX,633.0,CAR,2690.0,0,TOKEN COLLATERAL,1.tov-Vehicle T3,30,3.0,1.0,30.306,106.93,216,18.0,0,5,0,0
Used Vehicle Loan,Private Party Purchase,5.0,435.0,435.0,APPROVED,P,MI,765.0,CAR,4350.0,0,TOKEN COLLATERAL,1.tov-Vehicle T1,30,6.0,2.0,33.951,169.64,36,3.0,5,3,0,0
Auto Refinance,Refinance,94.0,944.67,944.67,DECLINED,P,TX,745.0,CAR,12725.0,0,6-10 YR USED,1.tov-Vehicle T2,36,3.0,345.24,11.508,306.05,12,1.0,0,5,1,0
Used Vehicle Loan,Refinance,47338.16,47548.58,47548.58,APPROVED,P,TX,663.0,CAR,53875.0,0,2 YR USED,1.tov-Vehicle T3,66,3.0,1.0,47.152,873.71,24,2.0,5,5,0,0
Auto Refinance,Refinance,4278.79,4388.1,4388.1,APPROVED,P,TX,726.0,CAR,58725.0,0,3 YR USED,1.tov-Vehicle T2,66,13.0,1.0,12.693,721.85,25,2.08,0,5,0,0
Auto Refinance,Refinance,34.0,34227.35,34227.35,APPROVED,P,TX,717.0,CAR,35825.0,0,3 yr USED,1.tov-Vehicle T2,66,7.0,2.0,32.433,608.05,12,1.0,0,5,0,0
Auto Refinance,Refinance,135.0,15334.25,15334.25,APPROVED,P,TX,682.0,CAR,15625.0,0,6-10 YR USED,1.tov-Vehicle T3,36,2.0,926.78,44.196,506.6,13,1.08,0,5,0,0
Auto Refinance,Refinance,5.0,51796.3,51796.3,APPROVED,P,TX,650.0,CAR,53025.0,0,2 yr USED,1.tov-Vehicle T3,66,7.0,1.0,20.842,946.66,204,17.0,0,5,0,0
Auto Refinance,Refinance,1586.75,15928.53,15928.53,APPROVED,P,TX,744.0,CAR,26150.0,0,2 YR USED,1.tov-Vehicle T2,66,2.0,419.05,14.059,281.5,12,1.0,0,5,0,0
Auto Refinance,Refinance,3.0,29656.27,29656.27,APPROVED,P,AZ,658.0,CAR,32150.0,0,4 YR USED,1.tov-Vehicle T3,54,4.0,1.0,40.516,657.76,272,22.67,0,5,0,0
Other Secured Loan,Bills,4.0,433.0,433.0,APPROVED,P,TX,647.0,CAR,12900.0,0,TOKEN COLLATERAL,1.tov-Vehicle T3,30,5.0,545.42,10.198,159.4,18,1.5,3,0,0,0
Auto Refinance,Refinance,11.0,11136.8,11136.8,APPROVED,P,AZ,708.0,CAR,21400.0,0,3 YR USED,1.tov-Vehicle T2,60,7.0,1.0,25.817,215.2,50,4.17,0,5,0,0
Used Vehicle Loan,Purchase-Other,2399.0,25817.6,25817.6,APPROVED,P,TX,698.0,CAR,24575.0,0,2 YR USED,1.tov-Vehicle T3,66,10.0,870.85,8.639,471.85,48,4.0,5,4,0,0
Auto Refinance,Refinance,36978.74,3586.5,3586.5,APPROVED,P,TX,636.0,CAR,30650.0,0,4 YR USED,1.tov-Vehicle T3,54,13.0,3.0,28.384,857.27,59,4.92,0,5,0,0
Auto Refinance,Refinance,16697.77,1673.77,0.0,DECLINED,P,TX,655.0,CAR,20575.0,0,4 YR USED,1.tov-Vehicle T3,36,3.0,1.0,44.619,0.0,53,4.42,0,5,1,0
Auto Refinance,Refinance,15174.27,1527.27,1527.27,APPROVED,P,TX,632.0,CAR,23125.0,0,5 YR USED,1.tov-Vehicle T3,48,3.0,1.0,38.184,380.49,44,3.67,0,5,0,0
New Vehicle Loan,Dealer Purchase,34.0,289.0,289.0,APPROVED,P,NM,681.0,CAR,24745.0,0,72 MO NEW,1.tov-Vehicle T3,72,8.0,2.0,26.301,489.43,124,10.33,2,1,0,0
Auto Refinance,Refinance,7.0,6853.73,6822.75,APPROVED,P,TX,692.0,CAR,21275.0,0,5 YR USED,1.tov-Vehicle T3,48,3.0,830.39,26.386,172.02,12,1.0,0,5,0,0
Auto Refinance,Refinance,2574.36,25158.71,25583.61,APPROVED,P,TX,667.0,CAR,32400.0,0,1 YR USED/REFI 72 MO,1.tov-Vehicle T3,72,6.0,798.32,12.37,437.74,3,0.25,0,5,0,0
Auto Refinance,Refinance,12674.64,1288.97,1288.97,APPROVED,P,AZ,683.0,CAR,19575.0,0,5 YR USED,1.tov-Vehicle T3,48,3.0,431.47,11.744,321.11,46,3.83,0,5,0,0
Auto Refinance,Refinance,25894.0,25567.5,25567.5,APPROVED,P,TX,632.0,CAR,29075.0,0,3 YR USED,1.tov-Vehicle T3,66,2.0,515.5,17.762,475.97,16,1.33,0,5,0,0
Auto Refinance,Refinance,36835.99,36868.99,0.0,DECLINED,P,TX,730.0,CAR,41300.0,0,60 MO NEW,1.tov-Vehicle T4,66,4.0,734.45,15.324,0.0,0,0.0,0,5,1,0
Auto Refinance,Refinance,16235.45,16162.45,16162.45,APPROVED,P,TX,722.0,CAR,19625.0,0,5 YR USED,1.tov-Vehicle T2,48,3.0,1.0,39.766,393.03,30,2.5,0,5,0,0
Auto Refinance,Refinance,51539.9,51572.9,0.0,DECLINED,P,TX,666.0,CAR,52445.0,0,4 YR USED,1.tov-Vehicle T3,54,6.0,1.0,16.551,0.0,90,7.5,0,5,1,0
Auto Refinance,Refinance,56218.31,56255.75,56255.75,APPROVED,P,TX,768.0,CAR,44300.0,0,1 YR USED/REFI 72 MO,1.tov-Vehicle T1,72,6.0,1.0,25.627,895.15,12,1.0,0,5,0,0
Auto Refinance,Refinance,22648.77,2145.0,2145.0,APPROVED,P,TX,678.0,CAR,21450.0,0,5 YR USED,1.tov-Vehicle T3,48,2.0,1.0,38.628,537.3,72,6.0,0,5,0,0
Auto Refinance,Refinance,183.0,18346.97,18346.97,APPROVED,P,TX,760.0,CAR,24300.0,0,5 YR USED,1.tov-Vehicle T1,48,3.0,1.0,45.93,439.37,180,15.0,0,5,0,0
Used Vehicle Loan,Dealer Purchase,13455.77,13455.77,13455.77,APPROVED,P,TX,627.0,CAR,23050.0,0,2 YR USED,1.tov-Vehicle T3,60,7.0,1.0,14.148,266.77,60,5.0,5,1,0,0
Auto Refinance,Refinance,24.0,2434.57,2434.57,APPROVED,P,TX,781.0,CAR,24775.0,0,3 YR USED,1.tov-Vehicle T1,66,3.0,1.0,35.838,368.8,88,7.33,0,5,0,0
Used Vehicle Loan,Dealer Purchase,52.0,56.0,56.0,APPROVED,P,TX,708.0,CAR,41525.0,0,2 YR USED,1.tov-Vehicle T2,66,7.0,3.0,46.739,893.25,127,10.58,5,1,0,0
Auto Refinance,Refinance,291.0,2113.58,2113.58,APPROVED,P,AZ,743.0,CAR,28000.0,0,2 YR USED,1.tov-Vehicle T3,66,8.0,545.13,6.395,386.59,175,14.58,0,5,0,0
Auto Refinance,Refinance,25.0,24326.11,24326.11,APPROVED,P,NM,652.0,CAR,25550.0,0,3 YR USED,1.tov-Vehicle T3,66,7.0,2.0,35.622,450.47,94,7.83,0,5,0,0
Auto Refinance,Refinance,4219.84,42142.84,0.0,DECLINED,P,TX,637.0,CAR,46025.0,0,3 YR USED,1.tov-Vehicle T3,66,7.0,2.0,30.624,0.0,48,4.0,0,5,1,0
Auto Refinance,Refinance,241.76,24136.26,0.0,DECLINED,P,TX,757.0,CAR,24650.0,0,2 YR USED,1.tov-Vehicle T1,66,6.0,3.0,47.504,0.0,29,2.42,0,5,1,0
