BranchID,Application_Date,Loan_SubType,Loan_Purpose,Loan_Type,Requested_LoanAmount,Approved_LoanAmount,Funded_LoanAmount,Loan_Status,Declined Date,Deciding Date,Approved Date,Funded Date,Borrower_Type,Applicant_State,Credit_Score,Type_ofVehicle,Value_ofAsset,LTV_Ratio,Loan_Class,Loan_Tier,Loan_Term,Monthly_Income,Monthly_debt,DTI_Ratio,Monthly_LoanPayment,Age_of_Employment_in_Months,Age_of_Employment_in_Years,Denial Reasons
469,6/3/2022,New Vehicle Loan,VEHICLE,Purchase-Other,5,51565.26,51565.26,APPROVED,,6/6/2022,6/6/2022,,P,TX,677,CAR,46410,0,72 MO NEW,1.tov-Vehicle T1,72,8,872.51,9.988,872.51,48,4,
870,6/3/2022,Auto Refinance,VEHICLE,Refinance,3763.86,37666.36,,DECLINED,6/24/2022,6/24/2022,,,P,TX,668,CAR,45525,0,1 YR USED/REFI 72 MO,1.tov-Vehicle T3,72,10,1,11.128,0,86,7.17,"Application Incomplete
"
120,6/3/2022,Auto Refinance,VEHICLE,Refinance,28,27539.57,27539.57,APPROVED,,6/3/2022,6/3/2022,,P,TX,633,CAR,34685,0,1 YR USED/REFI 72 MO,1.tov-Vehicle T3,72,4,1,25.179,468.45,48,4,
130,6/3/2022,Auto Refinance,VEHICLE,Refinance,38484.6,38564.56,38564.56,APPROVED,,6/9/2022,6/9/2022,6/9/2022,P,TX,669,CAR,34000,0,1 YR USED/REFI 72 MO,1.tov-Vehicle T3,72,6,2,32.48,659.63,157,13.08,
653,6/3/2022,Auto Refinance,VEHICLE,Refinance,45,45167.3,45167.3,APPROVED,6/3/2022,6/6/2022,6/6/2022,,P,TX,697,CAR,44175,0,2 YR USED,1.tov-Vehicle T3,66,8,4,45.949,825.5,96,8,Income insufficient for amount of credit requested
811,6/3/2022,Auto Refinance,VEHICLE,Refinance,45816.69,45849.69,,APPROVED,,6/6/2022,6/6/2022,,P,TX,676,CAR,45050,0,1 YR USED/REFI 72 MO,1.tov-Vehicle T3,72,11,2,22.413,0,53,4.42,
103,6/3/2022,New Vehicle Loan,VEHICLE,Dealer Purchase,32,27643.12,27643.12,APPROVED,6/7/2022,6/9/2022,6/9/2022,6/9/2022,P,TX,638,CAR,27025,0,2 YR USED,1.tov-Vehicle T3,66,2,813.22,34.429,505.68,12,1,
910,6/3/2022,New Vehicle Loan,VEHICLE,Purchase-Other,9,45527.18,45527.18,DECLINED,6/22/2022,6/22/2022,,6/18/2022,P,AZ,699,CAR,34995,0,72 MO NEW,1.tov-Vehicle T3,72,8,1,19.275,774.84,84,7,"Application Incomplete
"
366,6/4/2022,Auto Refinance,VEHICLE,Refinance,26491.1,26827.75,26827.75,APPROVED,,6/8/2022,6/8/2022,,P,TX,628,CAR,30225,0,1 YR USED/REFI 72 MO,1.tov-Vehicle T3,72,6,627.93,9.314,456.35,54,4.5,
647,6/4/2022,Auto Refinance,VEHICLE,Refinance,3413.38,34283.71,34283.71,APPROVED,,6/6/2022,6/6/2022,6/6/2022,P,TX,812,CAR,31025,0,2 YR USED,1.tov-Vehicle T1,66,7,1,25.031,593.07,204,17,
848,6/4/2022,Auto Refinance,VEHICLE,Refinance,15656,15955.17,15955.17,APPROVED,,6/6/2022,6/6/2022,6/6/2022,P,TX,749,CAR,16325,0,6-10 YR USED,1.tov-Vehicle T2,36,2,679.87,29.56,516.68,24,2,
506,6/4/2022,Auto Refinance,VEHICLE,Refinance,66,6359.21,6344.11,APPROVED,,6/16/2022,6/16/2022,,P,TX,707,CAR,13450,0,6-10 YR USED,1.tov-Vehicle T2,36,2,1,40.601,205.3,14,1.17,
103,6/4/2022,Used Vehicle Loan,VEHICLE,Dealer Purchase,12495,6,,DECLINED,6/13/2022,6/13/2022,6/8/2022,,P,AZ,677,CAR,7375,0,TOKEN COLLATERAL,1.tov-Vehicle T3,30,6,1,27.938,0,156,13,"Application Incomplete
"
618,6/4/2022,Used Vehicle Loan,VEHICLE,Dealer Purchase,8497.87,8497.87,8497.87,APPROVED,6/6/2022,6/7/2022,6/7/2022,6/7/2022,P,TX,665,CAR,9600,0,6-10 YR USED,1.tov-Vehicle T3,36,3,1,34.885,281.12,12,1,
888,6/4/2022,Auto Refinance,VEHICLE,Refinance,2,23673.62,23673.62,APPROVED,6/4/2022,6/6/2022,6/6/2022,6/6/2022,P,TX,711,CAR,31575,0,2 YR USED,1.tov-Vehicle T2,66,2,1,48.618,415.88,62,5.17,Income insufficient for amount of credit requested
103,6/6/2022,Auto Refinance,VEHICLE,Refinance,5642.59,5675.59,,DECLINED,6/24/2022,6/24/2022,,,P,TX,706,CAR,74400,0,6-10 YR USED,1.tov-Vehicle T2,36,6,5,77.084,0,57,4.75,"Application Incomplete
"
871,6/6/2022,Other Secured Loan,VEHICLE,Refinance,3,328,328,APPROVED,,6/6/2022,6/6/2022,6/6/2022,P,TX,681,CAR,18250,0,6-10 YR USED,1.tov-Vehicle T3,36,8,949.88,10.996,99.88,132,11,
103,6/6/2022,Auto Refinance,VEHICLE,Refinance,34,3536.5,3536.5,DECLINED,6/8/2022,6/8/2022,6/6/2022,,P,AZ,636,CAR,31050,0,2 YR USED,1.tov-Vehicle T3,66,4,2,45.632,558.11,13,1.08,Length of employment
103,6/6/2022,Auto Refinance,VEHICLE,Refinance,282.6,19347.26,19347.26,APPROVED,6/24/2022,6/24/2022,6/24/2022,6/24/2022,P,TX,672,CAR,25925,0,4 YR USED,1.tov-Vehicle T3,54,11,2,22.505,430.15,12,1,"Length of employment
Length of employment"
103,6/6/2022,Auto Refinance,VEHICLE,Refinance,35821,3597.23,3597.23,APPROVED,,6/6/2022,6/6/2022,6/6/2022,P,TX,686,CAR,42400,0,1 YR USED/REFI 72 MO,1.tov-Vehicle T3,72,4,2,45.647,610.65,60,5,
664,6/6/2022,Used Vehicle Loan,VEHICLE,Purchase-Other,4196.9,389.66,389.66,APPROVED,,6/7/2022,6/7/2022,6/7/2022,P,TX,731,CAR,34175,0,1 YR USED/REFI 72 MO,1.tov-Vehicle T2,72,16,2,18.151,619.88,420,35,
